Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-06-28,0.0176141217,0.0176141217,0.0170900635,0.0178924575,0.021555787,0.0162995867,0.0213317163,0.0168707203,0.0113670342,0.0197908357,0.0252641253
2016-06-29,0.0168892431,0.0168892431,0.0143404538,0.0144385127,0.016382236,0.014673166,0.0126354825,0.0118382275,0.0119800493,0.0140315574,0.0137575688
2016-06-30,0.0134738627,0.0134738627,0.0187530387,0.0185457189,0.0168996267,0.0162995867,0.0170029514,0.0155977877,0.0113909878,0.0106143383,0.0143598355
2016-07-01,0.0019467064,0.0019467064,-0.0009303766,0.0044127451,-0.000502264,-0.0021032207,-0.0001083726,-0.0003099042,0.0110346079,0.0103737554,0.0031801085
2016-07-05,-0.0068710288,-0.0068710288,0.0013343336,-0.0019047223,-0.0005022658,-0.0032304898,-0.0006906013,-0.0003099063,0.003543843,0.0044785794,-0.0051966151
2016-07-06,0.0053386868,0.0053386868,0.0012823476,-0.0001141266,0.0036459907,0.0005087014,-0.0006906014,0.0012296143,0.0014293042,0.0036674347,0.0031500761
2016-07-07,-0.0008719578,-0.0008719578,-0.0005371224,-0.0007754094,-0.0005022658,-0.0026422124,-0.0006906013,-0.0003099063,0.0002761543,-0.002498718,0.0001020478
2016-07-08,0.0151381866,0.0151381866,0.0095891301,0.0113052856,0.0098915258,0.0117911631,0.0119746476,0.0143827163,0.0119800493,0.0131413024,0.0125758201
2016-07-11,0.0034028194,0.0034028194,0.0007304235,0.0040592905,-0.0005022649,0.0012622448,0.0040830201,0.0010810897,0.0059889182,0.0041586421,0.0020357505
2016-07-12,0.0069848426,0.0069848426,0.0040176529,0.0065782024,-0.0005022649,0.0033574719,0.0052920557,0.0101521434,0.0119800493,0.0142554101,0.0077315173
2016-07-13,0.0001347586,0.0001347586,0.0026207652,0.0012750146,-0.000502264,0.0016719066,0.001588149,7.47182639316E-05,-0.0009860146,-0.0015453342,-0.0013919789
2016-07-14,0.0052454226,0.0052454226,0.001196943,0.0003381823,0.0035895749,0.0027287006,-0.0005545121,0.0002155884,-0.00011392,0.0014519859,0.0024346085
2016-07-15,-0.0009293792,-0.0009293792,-0.0028551174,-0.0017270716,-0.000502264,-0.0024681371,-0.0006906029,-0.0003099042,-0.0004522474,-0.0002926998,-0.0007966068
2016-07-18,0.0023794621,0.0023794621,-0.0012578564,0.0026638745,-0.000502264,0.0023728991,8.66486225277E-05,0.0023953838,0.0043317983,-0.000849843,-0.000170419
2016-07-19,-0.0014362048,-0.0014362048,0.0006950812,0.0010375259,-0.0005022658,-0.0029211417,-0.0006906013,-0.0003099042,-0.0009860172,-0.0053283516,-0.0052495552
2016-07-20,0.0042612087,0.0042612087,0.0002208587,0.001183819,0.0032632782,0.0010850271,0.0018341339,0.0027880403,0.0060705827,0.0094936304,0.005797097
2016-07-21,-0.00361907,-0.00361907,-0.0036288225,-0.0005714721,0.0025812832,-0.002024183,-6.92107132636E-05,-0.000309902,0.004941598,0.0010278802,0.0003293636
2016-07-22,0.0045436266,0.0045436266,0.0069440231,0.0063782837,0.0018745426,0.0020585526,0.0054063052,0.0033813454,0.0043701837,0.0028456822,8.83555039763E-05
2016-07-25,-0.0030160188,-0.0030160188,-0.0022449787,-0.0012714891,-0.000502264,-0.0013005789,0.0002017501,-0.0003099042,-0.0009860146,0.000150444,-0.0015296172
2016-07-26,0.0003227325,0.0003227325,0.0011918338,0.0055721379,0.0022905378,0.0023570517,0.0022820609,0.0015321709,0.0060953228,0.0017910507,0.0001751091
2016-07-27,-0.0011992612,-0.0011992612,0.0019993025,-0.0014729183,-0.0005022658,0.0053010518,-0.0006906013,-0.000309902,-0.0009860146,-0.0053006746,-0.0039487034
2016-07-28,0.0016049207,0.0016049207,-0.0024130293,2.51084566116E-06,-0.000502264,-0.0033344179,-0.0006333318,-0.0003099042,0.0016593102,-0.0013251398,-0.0006723432
2016-07-29,0.0016299801,0.0016299801,-0.0005878068,-0.0034774672,-0.0005022658,7.37756490707E-05,-0.0002402808,0.0007711712,-0.0009860146,-0.0031051785,-0.0002933191
2016-08-01,-0.0012705943,-0.0012705943,0.0032811521,0.000761047,-0.0005022658,-0.0013308935,0.0018257238,-0.000309902,-0.0009860146,-0.0043228325,-0.0033103954
2016-08-02,-0.006381941,-0.006381941,-0.0013954118,-0.0024822252,-0.0005022658,-0.0029227361,0.0056039039,-0.0020574315,-0.0009860172,-0.0017044824,-0.0032361317
2016-08-03,0.0031290428,0.0031290428,-0.0020486503,0.0013504322,0.0044449661,0.0043456051,-0.0006906012,0.0041542184,0.0045381072,0.0077806422,0.0064663189
2016-08-04,0.0002125493,0.0002125493,-0.0003465777,0.0038066737,-0.0005022658,0.0006552488,2.15214095078E-05,-0.0003099042,-0.0009860146,-0.001384316,-0.0016705664
2016-08-05,0.0085666972,0.0085666972,0.0053257188,0.0052598179,0.0067521296,0.0067248084,0.0020801043,0.0069616837,-0.0009860146,0.0017868932,0.0062299492
2016-08-08,-0.000907577,-0.000907577,-0.0001004979,0.0023556356,-0.0005022658,0.0009383643,-0.0006906013,-0.000309902,0.001140449,-0.0007288307,-0.0001075799
2016-08-09,0.0003897177,0.0003897177,0.0015885283,0.0013377964,-0.0005022658,0.0002156384,-0.0006906013,0.0010644472,0.0018276772,0.003242597,0.0079523195
